,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,
,Delhi,Moderate,188,"O<s>3, </s>PM<s>2.5</s>",4,,2015-06-07
,Faridabad,Poor,218,PM<s>2.5 </s>,1,,2015-06-07
,Kanpur,Moderate,158,PM<s>2.5</s>,1,,2015-06-07
,Lucknow,Poor,262,PM<s>2.5</s>,3,,2015-06-07
,Navi Mumbai,Moderate,110,CO,1,,2015-06-07
,Varanasi,Poor,261,PM<s>10</s>,1,,2015-06-07
,,,,,,,2015-06-07
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-08
,Agra,Moderate,118,PM<s>2.5</s>,1,,2015-06-08
,Ahmedabad,Moderate,112,PM<s>2.5</s>,1,,2015-06-08
,Bengaluru,Good,50,"PM<s>2.5</s>, NO<s>2</s>",3,,2015-06-08
,Chennai,Moderate,118,PM<s>2.5</s>,3,,2015-06-08
,Delhi,Very poor,310,"O<s>3, </s>PM<s>10 </s>",3  (data @ 1pm),,2015-06-08
,Faridabad,Moderate,182,PM<s>2.5</s>,1,,2015-06-08
,Hyderabad,Satisfactory,69,PM<s>2.5</s>,1,,2015-06-08
,Kanpur,Moderate,180,PM<s>2.5</s>,1,,2015-06-08
,Lucknow,Poor,255,PM<s>2.5</s>,3,,2015-06-08
,Navi Mumbai,Moderate,109,CO,1,,2015-06-08
,Varanasi,Poor,247,PM<s>10</s>,1,,2015-06-08
,,,,,,,2015-06-08
,City,Air Quality Index Value,,Prominent Pollutant,Based on number of monitoring stations,,2015-06-09
,Agra,105 Moderate,,PM<s>2.5</s>,1,,2015-06-09
,Ahmedabad,Satisfactory 59,,PM<s>2.5</s>,1,,2015-06-09
,Bengaluru,Good 40,,SO<s>2</s>,3,,2015-06-09
,Chennai,Moderate 107,,PM<s>2.5</s>,2,,2015-06-09
,Faridabad,206 Poor,,PM<s>2.5</s>,1,,2015-06-09
,Hyderabad,Good 42,,PM<s>2.5</s>,1,,2015-06-09
,Kanpur,186 Moderate,,PM<s>2.5</s>,1,,2015-06-09
,LNVucknow  avi Mumbai   aranasi,Poor   111 Moderate,218,PM<s>2.5</s>CO PM<s>10</s>,1 1 1,,2015-06-09
,,,,,,,2015-06-09
,,Very poor,335,,,,2015-06-09
,*    Today,,,,,,2015-06-09
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-10
,Agra,Satisfactory,62,PM<s>2.5</s>,1,,2015-06-10
,Ahmedabad,Satisfactory,76,PM<s>2.5</s>,1,,2015-06-10
,Bengaluru,Good,48,CO,3,,2015-06-10
