,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,
,Moderate,133,PM<s>10</s>,2,2016-02-17,,
,Poor,265,"PM<s>10</s>, O<s>3</s>",3,2016-02-17,,
,Poor,266,PM<s>2.5</s>,1,2016-02-17,,
,Satisfactory,99,PM<s>2.5</s>,1,2016-02-17,,
,Satisfactory,97,PM<s>10</s>,1,2016-02-17,,
,Satisfactory,74,PM<s>2.5</s>,2,2016-02-17,,
,Moderate,171,PM<s>2.5</s>,1,2016-02-17,,
,Moderate,178,PM<s>10</s>,1,2016-02-17,,
,Very Poor,328,PM<s>2.5</s>,2,2016-02-17,,
,Moderate,141,PM<s>10</s>,1,2016-02-17,,
,Poor,300,PM<s>2.5</s>,1,2016-02-17,,
,Moderate,102,PM<s>10</s>,1,2016-02-17,,
,Moderate,104,PM<s>2.5</s>,1,2016-02-17,,
,Moderate,194,PM<s>2.5</s>,1,2016-02-17,,
,Satisfactory,70,PM<s>10</s>,1,2016-02-17,,
,Satisfactory,94,PM<s>10</s>,1,2016-02-17,,
,Poor,292,PM<s>2.5</s>,1,2016-02-17,,
,Poor,263,PM<s>2.5</s>,1,2016-02-18,,
,Moderate,121,PM<s>10</s>,2,2016-02-18,,
,Poor,285,PM<s>2.5</s>,<s>#</s>3,2016-02-18,,
,Poor,282,PM<s>2.5</s>,1,2016-02-18,,
,Satisfactory,87,PM<s>10</s>,1,2016-02-18,,
,Satisfactory,80,PM<s>2.5</s>,<s>#</s>2,2016-02-18,,
,Moderate,167,PM<s>2.5</s>,1,2016-02-18,,
,Moderate,116,PM<s>10</s>,1,2016-02-18,,
,Poor,244,PM<s>2.5</s>,1,2016-02-18,,
,Moderate,102,PM<s>10</s>,1,2016-02-18,,
,Poor,287,PM<s>2.5</s>,1,2016-02-18,,
,Moderate,187,PM<s>2.5</s>,1,2016-02-18,,
,Moderate,117,PM<s>10</s>,1,2016-02-18,,
,Poor,289,PM<s>2.5</s>,1,2016-02-18,,
,Poor,293,PM<s>2.5</s>,1,2016-02-19,,
,Moderate,124,"PM<s>2.5</s>, PM<s>10</s>",4,2016-02-19,,
,Moderate,172,PM<s>2.5</s>,3,2016-02-19,,
,Very Poor,372,PM<s>2.5</s>,5,2016-02-19,,
,Very Poor,339,PM<s>2.5</s>,1,2016-02-19,,
,Satisfactory,97,PM<s>10</s>,1,2016-02-19,,
,Satisfactory,68,PM<s>2.5</s>,<s>#</s>2,2016-02-19,,
,Poor,221,PM<s>2.5</s>,1,2016-02-19,,
,Moderate,181,PM<s>2.5</s>,1,2016-02-19,,
,Poor,227,"PM<s>2.5</s>, O<s>3</s>",3,2016-02-19,,
,Satisfactory,95,PM<s>10</s>,1,2016-02-19,,
,Poor,267,PM<s>2.5</s>,1,2016-02-19,,
,Moderate,102,PM<s>10</s>,1,2016-02-19,,
,Moderate,149,PM<s>2.5</s>,1,2016-02-19,,
,Satisfactory,77,PM<s>10</s>,1,2016-02-19,,
,Poor,213,PM<s>2.5</s>,1,2016-02-19,,
,Poor,299,PM<s>2.5</s>,1,2016-02-20,,
,Moderate,115,"PM<s>2.5</s>, PM<s>10</s>",5,2016-02-20,,
,Moderate,168,PM<s>2.5</s>,3,2016-02-20,,
,Very Poor,322,PM<s>2.5</s>,5,2016-02-20,,
,Poor,292,PM<s>2.5</s>,1,2016-02-20,,
,Moderate,104,PM<s>2.5</s>,1,2016-02-20,,
,Satisfactory,98,PM<s>2.5</s>,2,2016-02-20,,
,Poor,258,PM<s>2.5</s>,1,2016-02-20,,
,Moderate,172,PM<s>2.5</s>,1,2016-02-20,,
,Very Poor,305,PM<s>2.5</s>,1,2016-02-20,,
,Poor,241,PM<s>2.5</s>,3,2016-02-20,,
,Satisfactory,84,PM<s>10</s>,1,2016-02-20,,
,Moderate,101,PM<s>10</s>,1,2016-02-20,,
,Satisfactory,70,CO,1,2016-02-20,,
,Poor,270,PM<s>2.5</s>,1,2016-02-20,,
,Moderate,123,PM<s>2.5</s>,1,2016-02-20,,
,Moderate,120,PM<s>10</s>,1,2016-02-20,,
,Poor,214,PM<s>2.5</s>,1,2016-02-20,,
,Moderate,180,PM<s>2.5</s>,1,2016-02-21,,
,Moderate,144,"O<s>3</s>, PM<s>2.5</s>",4,2016-02-21,,
,Moderate,192,PM<s>2.5</s>,1,2016-02-21,,
,Moderate,181,PM<s>2.5</s>,1,2016-02-21,,
,Moderate,186,"PM<s>2.5</s>, PM<s>10</s>",3,2016-02-21,,
,Poor,225,PM<s>2.5</s>,1,2016-02-21,,
,Satisfactory,74,PM<s>2.5</s>,1,2016-02-21,,
,Poor,295,PM<s>2.5</s>,2,2016-02-21,,
,Moderate,166,PM<s>2.5</s>,1,2016-02-21,,
,Moderate,114,PM<s>10</s>,1,2016-02-21,,
,Poor,237,PM<s>2.5</s>,1,2016-02-21,,
,Moderate,109,PM<s>10</s>,1,2016-02-21,,
,Poor,262,PM<s>2.5</s>,1,2016-02-21,,
,Good,45,CO,<s>#</s>1,2016-02-21,,
,Moderate,158,PM<s>2.5</s>,1,2016-02-21,,
,Moderate,120,PM<s>10</s>,1,2016-02-21,,
,Poor,238,PM<s>10</s>,1,2016-02-21,,
,Satisfactory,76,PM<s>2.5</s>,1,2016-02-22,,
,Moderate,150,"PM<s>2.5</s>, PM<s>10</s>",5,2016-02-22,,
,Moderate,174,PM<s>2.5</s>,1,2016-02-22,,
,Moderate,156,"O<s>3</s>, PM<s>2.5</s>",2,2016-02-22,,
,Poor,230,"PM<s>2.5</s>, O<s>3</s>",3,2016-02-22,,
,Poor,211,PM<s>2.5</s>,1,2016-02-22,,
,Satisfactory,56,PM<s>2.5</s>,1,2016-02-22,,
,Satisfactory,98,PM<s>10</s>,1,2016-02-22,,
,Poor,290,PM<s>2.5</s>,2,2016-02-22,,
,Moderate,176,PM<s>10</s>,1,2016-02-22,,
,Moderate,120,PM<s>10</s>,1,2016-02-22,,
,Moderate,183,PM<s>2.5</s>,1,2016-02-22,,
,Moderate,192,"PM<s>2.5</s>, O<s>3</s>",3,2016-02-22,,
,Satisfactory,79,PM<s>10</s>,1,2016-02-22,,
,Moderate,164,CO,1,2016-02-22,,
,Moderate,172,PM<s>2.5</s>,1,2016-02-22,,
,Moderate,112,PM<s>10</s>,1,2016-02-22,,
,Moderate,168,PM<s>10</s>,1,2016-02-22,,
,Moderate,159,PM<s>2.5</s>,1,2016-02-23,,
,Moderate,164,"PM<s>2.5</s>, PM<s>10</s>",4,2016-02-23,,
,Moderate,135,PM<s>2.5</s>,1,2016-02-23,,
,Moderate,117,PM<s>2.5</s>,2,2016-02-23,,
,Poor,217,"PM<s>2.5</s>, O<s>3</s>",<s>#</s>4,2016-02-23,,
,Moderate,161,PM<s>2.5</s>,1,2016-02-23,,
,Satisfactory,55,PM<s>2.5</s>,1,2016-02-23,,
,Moderate,121,PM<s>10</s>,1,2016-02-23,,
,Moderate,125,PM<s>2.5</s>,2,2016-02-23,,
,Poor,227,PM<s>2.5</s>,1,2016-02-23,,
,Moderate,176,PM<s>10</s>,1,2016-02-23,,
,Moderate,165,PM<s>2.5</s>,1,2016-02-23,,
,Poor,242,PM<s>2.5</s>,3,2016-02-23,,
,Satisfactory,92,PM<s>10</s>,1,2016-02-23,,
,Poor,216,PM<s>2.5</s>,1,2016-02-23,,
,Satisfactory,98,PM<s>10</s>,1,2016-02-23,,
,Moderate,103,PM<s>2.5</s>,1,2016-02-23,,
,Moderate,178,PM<s>2.5</s>,1,2016-02-23,,
,Moderate,114,PM<s>10</s>,1,2016-02-23,,
,Moderate,194,PM<s>10</s>,1,2016-02-23,,
,Poor,202,PM<s>2.5</s>,1,2016-02-24,,
,Poor,220,"O<s>3</s>, PM<s>2.5</s>",<s>#</s>5,2016-02-24,,
,Satisfactory,90,PM<s>10</s>,1,2016-02-24,,
,Satisfactory,88,"O<s>3</s>, PM<s>2.5</s>",2,2016-02-24,,
,Very Poor,305,"PM<s>2.5</s>, PM<s>10</s>",3,2016-02-24,,
,Satisfactory,76,PM<s>2.5</s>,1,2016-02-24,,
,Very Poor,307,PM<s>2.5</s>,<s>#</s>1,2016-02-24,,
,Satisfactory,74,PM<s>10</s>,<s>#</s>1,2016-02-24,,
,Satisfactory,97,PM<s>2.5</s>,2,2016-02-24,,
,Very Poor,301,PM<s>2.5</s>,1,2016-02-24,,
,Moderate,176,PM<s>2.5</s>,1,2016-02-24,,
,Poor,222,PM<s>2.5</s>,1,2016-02-24,,
,Poor,285,PM<s>2.5</s>,3,2016-02-24,,
,Moderate,126,PM<s>10</s>,1,2016-02-24,,
,Poor,287,PM<s>2.5</s>,1,2016-02-24,,
,Satisfactory,96,PM<s>10</s>,1,2016-02-24,,
,Moderate,110,PM<s>2.5</s>,1,2016-02-24,,
,Moderate,142,PM<s>2.5</s>,1,2016-02-24,,
,Very Poor,356,PM<s>10</s>,1,2016-02-24,,
,Poor,224,PM<s>2.5</s>,<s>#</s>1,2016-02-25,,
,Moderate,174,"O<s>3</s>, PM<s>2.5</s>",5,2016-02-25,,
,Satisfactory,79,PM<s>10</s>,1,2016-02-25,,
,Satisfactory,99,"O<s>3</s>, PM<s>2.5</s>",3,2016-02-25,,
,Poor,285,"PM<s>2.5</s>, PM<s>10</s>",<s>#</s>5,2016-02-25,,
,Poor,251,PM<s>2.5</s>,1,2016-02-25,,
,Moderate,190,PM<s>2.5</s>,1,2016-02-25,,
,Poor,295,PM<s>2.5</s>,<s>#</s>1,2016-02-25,,
,Satisfactory,93,"PM<s>2.5</s>, PM<s>10</s>",2,2016-02-25,,
,Poor,263,PM<s>2.5</s>,1,2016-02-25,,
,Poor,212,PM<s>10</s>,1,2016-02-25,,
,Poor,202,PM<s>2.5</s>,<s>#</s>1,2016-02-25,,
,Very Poor,317,PM<s>2.5</s>,3,2016-02-25,,
,Satisfactory,99,PM<s>10</s>,1,2016-02-25,,
,Moderate,103,PM<s>10</s>,1,2016-02-25,,
,Satisfactory,83,O<s>3</s>,1,2016-02-25,,
,Poor,294,PM<s>2.5</s>,1,2016-02-25,,
,Moderate,113,PM<s>2.5</s>,1,2016-02-25,,
,Moderate,139,O<s>3</s>,1,2016-02-25,,
,Poor,217,PM<s>2.5</s>,1,2016-02-25,,
,Poor,227,PM<s>2.5</s>,1,2016-02-26,,
,Moderate,116,"PM<s>2.5</s>, NO<s>2</s>",5,2016-02-26,,
,Satisfactory,78,PM<s>10</s>,1,2016-02-26,,
,Moderate,107,CO,1,2016-02-26,,
,Poor,277,"PM<s>2.5</s>, O<s>3</s>",4,2016-02-26,,
,Moderate,111,PM<s>2.5</s>,1,2016-02-26,,
,Poor,295,PM<s>2.5</s>,1,2016-02-26,,
,Satisfactory,88,PM<s>2.5</s>,2,2016-02-26,,
,Poor,204,PM<s>2.5</s>,1,2016-02-26,,
,Moderate,193,PM<s>2.5</s>,1,2016-02-26,,
,Poor,269,PM<s>2.5</s>,1,2016-02-26,,
,Very Poor,318,PM<s>2.5</s>,3,2016-02-26,,
,Satisfactory,95,PM<s>10</s>,1,2016-02-26,,
,Poor,240,PM<s>2.5</s>,1,2016-02-26,,
,Moderate,104,PM<s>10</s>,1,2016-02-26,,
,Moderate,127,PM<s>2.5</s>,1,2016-02-26,,
,Moderate,166,O<s>3</s>,<s>#</s>1,2016-02-26,,
,Poor,276,PM<s>2.5</s>,1,2016-02-26,,
,Satisfactory,77,"O<s>3</s>, PM<s>2.5</s>",5,2016-02-27,,
,Satisfactory,59,PM<s>10</s>,1,2016-02-27,,
,Satisfactory,84,PM<s>2.5</s>,2,2016-02-27,,
,Very Poor,317,"PM<s>2.5</s>, PM<s>10</s>",4,2016-02-27,,
,Satisfactory,72,PM<s>2.5</s>,1,2016-02-27,,
,Very Poor,331,PM<s>2.5</s>,<s>#</s>1,2016-02-27,,
,Satisfactory,68,"PM<s>2.5</s>, PM<s>10</s>",2,2016-02-27,,
,Moderate,194,PM<s>10</s>,1,2016-02-27,,
,Poor,225,PM<s>2.5</s>,1,2016-02-27,,
,Poor,290,PM<s>2.5</s>,1,2016-02-27,,
,Moderate,158,PM<s>10</s>,1,2016-02-27,,
,Poor,245,PM<s>2.5</s>,1,2016-02-27,,
,Moderate,105,PM<s>10</s>,1,2016-02-27,,
,Poor,233,PM<s>2.5</s>,1,2016-02-27,,
,Moderate,184,PM<s>2.5</s>,1,2016-02-27,,
,Moderate,101,PM<s>10</s>,1,2016-02-27,,
,Satisfactory,94,"O<s>3</s>, NO<s>2</s>",5,2016-02-28,,
,Satisfactory,62,PM<s>10</s>,1,2016-02-28,,
,Satisfactory,81,"PM<s>2.5</s>, CO",2,2016-02-28,,
,Very Poor,306,"PM<s>2.5</s>, O<s>3</s>",4,2016-02-28,,
,Poor,299,PM<s>2.5</s>,1,2016-02-28,,
,Moderate,138,PM<s>2.5</s>,1,2016-02-28,,
,Very Poor,347,PM<s>2.5</s>,1,2016-02-28,,
,Satisfactory,79,"PM<s>2.5</s>, PM<s>10</s>",2,2016-02-28,,
,Poor,258,PM<s>2.5</s>,1,2016-02-28,,
,Very Poor,309,PM<s>2.5</s>,1,2016-02-28,,
,Moderate,105,PM<s>10</s>,1,2016-02-28,,
,Poor,223,PM<s>2.5</s>,1,2016-02-28,,
,Satisfactory,89,PM<s>10</s>,1,2016-02-28,,
,Moderate,106,"PM<s>2.5</s>, PM<s>10</s>",4,2016-02-29,,
,Satisfactory,76,PM<s>10</s>,<s>#</s>1,2016-02-29,,
,Moderate,106,CO,<s>#</s>1,2016-02-29,,
,Very Poor,301,"PM<s>2.5</s>, O<s>3</s>",4,2016-02-29,,
,Very Poor,304,PM<s>2.5</s>,1,2016-02-29,,
,Moderate,182,PM<s>2.5</s>,1,2016-02-29,,
,Very Poor,339,PM<s>2.5</s>,1,2016-02-29,,
,Satisfactory,51,PM<s>10</s>,1,2016-02-29,,
,Satisfactory,73,"PM<s>2.5</s>, PM<s>10</s>",2,2016-02-29,,
,Poor,242,PM<s>2.5</s>,1,2016-02-29,,
,Very Poor,310,PM<s>2.5</s>,1,2016-02-29,,
,Very Poor,332,PM<s>2.5</s>,3,2016-02-29,,
,Moderate,133,PM<s>10</s>,1,2016-02-29,,
,Moderate,105,PM<s>10</s>,1,2016-02-29,,
,Moderate,180,PM<s>2.5</s>,1,2016-02-29,,
,Poor,290,PM<s>2.5</s>,1,2016-02-29,,
,Moderate,192,PM<s>2.5</s>,1,2016-02-29,,
,Moderate,103,PM<s>10</s>,1,2016-02-29,,
,Moderate,133,PM<s>10</s>,2,2016-03-01,,
,Good,42,PM<s>10</s>,1,2016-03-01,,
,Very Poor,352,PM<s>2.5</s>,3,2016-03-01,,
,Moderate,177,PM<s>2.5</s>,1,2016-03-01,,
,Very Poor,365,PM<s>2.5</s>,1,2016-03-01,,
,Satisfactory,61,PM<s>10</s>,1,2016-03-01,,
,Satisfactory,76,"PM<s>2.5</s>, PM<s>10</s>",2,2016-03-01,,
,Moderate,166,PM<s>10</s>,1,2016-03-01,,
,Poor,243,PM<s>2.5</s>,1,2016-03-01,,
,Very Poor,313,PM<s>2.5</s>,1,2016-03-01,,
,Poor,205,PM<s>2.5</s>,1,2016-03-01,,
,Very Poor,311,PM<s>2.5</s>,<s>#</s>1,2016-03-01,,
,Moderate,106,PM<s>10</s>,1,2016-03-01,,
,Satisfactory,79,PM<s>2.5</s>,1,2016-03-01,,
,Poor,202,PM<s>2.5</s>,1,2016-03-01,,
,Satisfactory,52,PM<s>10</s>,<s>#</s>1,2016-03-01,,
,Satisfactory,94,PM<s>10</s>,<s>#</s>1,2016-03-01,,
,Moderate,114,"PM<s>2.5</s>, PM<s>10</s>",3,2016-03-02,,
,Satisfactory,99,PM<s>10</s>,1,2016-03-02,,
,Moderate,171,PM<s>2.5</s>,3,2016-03-02,,
,Very Poor,334,PM<s>2.5</s>,3,2016-03-02,,
,Moderate,158,PM<s>2.5</s>,1,2016-03-02,,
,Very Poor,383,PM<s>2.5</s>,1,2016-03-02,,
,Satisfactory,54,PM<s>10</s>,1,2016-03-02,,
,Satisfactory,91,"PM<s>2.5</s>, PM<s>10</s>",2,2016-03-02,,
,Poor,249,PM<s>10</s>,1,2016-03-02,,
,Moderate,169,PM<s>10</s>,1,2016-03-02,,
,Very Poor,307,PM<s>2.5</s>,1,2016-03-02,,
,Moderate,133,PM<s>10</s>,1,2016-03-02,,
,Moderate,105,PM<s>10</s>,1,2016-03-02,,
,Poor,281,PM<s>2.5</s>,<s>#</s>1,2016-03-02,,
,Moderate,125,PM<s>2.5</s>,1,2016-03-02,,
,Satisfactory,88,PM<s>10</s>,1,2016-03-02,,
,Very Poor,348,PM<s>10</s>,1,2016-03-02,,
,Moderate,134,PM<s>10</s>,<s>#</s>1,2016-03-03,,
,Moderate,117,PM<s>10</s>,1,2016-03-03,,
,Very Poor,315,"PM<s>2.5</s>, O<s>3</s>",3,2016-03-03,,
,Very Poor,338,PM<s>2.5</s>,1,2016-03-03,,
,Satisfactory,56,PM<s>10</s>,1,2016-03-03,,
,Satisfactory,89,"PM<s>2.5</s>, PM<s>10</s>",2,2016-03-03,,
,Poor,201,PM<s>10</s>,<s>#</s>1,2016-03-03,,
,Moderate,173,PM<s>2.5</s>,1,2016-03-03,,
,Very Poor,320,PM<s>2.5</s>,<s>#</s>1,2016-03-03,,
,Moderate,119,PM<s>10</s>,1,2016-03-03,,
,Moderate,102,CO,1,2016-03-03,,
,Very Poor,321,PM<s>2.5</s>,1,2016-03-03,,
,Moderate,195,PM<s>2.5</s>,1,2016-03-03,,
,Satisfactory,62,CO,<s>#</s>1,2016-03-03,,
,Satisfactory,81,PM<s>10</s>,1,2016-03-03,,
,Very Poor,364,PM<s>10</s>,1,2016-03-03,,
,Moderate,134,"PM<s>2.5</s>, NO<s>2</s>",4,2016-03-04,,
,Satisfactory,98,PM<s>10</s>,<s>#</s>1,2016-03-04,,
,Moderate,105,PM<s>2.5</s>,1,2016-03-04,,
,Poor,280,"PM<s>2.5</s>, O<s>3</s>",3,2016-03-04,,
,Moderate,143,PM<s>2.5</s>,1,2016-03-04,,
,Satisfactory,66,PM<s>10</s>,1,2016-03-04,,
,Moderate,108,"PM<s>2.5</s>, PM<s>10</s>",2,2016-03-04,,
,Poor,294,PM<s>2.5</s>,1,2016-03-04,,
,Moderate,173,PM<s>2.5</s>,<s>#</s>1,2016-03-04,,
,Very Poor,325,PM<s>2.5</s>,1,2016-03-04,,
,Satisfactory,73,PM<s>10</s>,1,2016-03-04,,
,Moderate,105,CO,1,2016-03-04,,
,Satisfactory,91,PM<s>2.5</s>,1,2016-03-04,,
,Moderate,120,PM<s>2.5</s>,1,2016-03-04,,
,Satisfactory,58,CO,<s>#</s>1,2016-03-04,,
,Moderate,123,PM<s>10</s>,<s>#</s>1,2016-03-04,,
,Very Poor,332,PM<s>10</s>,1,2016-03-04,,
,Moderate,144,"PM<s>2.5</s>, CO",4,2016-03-05,,
,Satisfactory,97,"O<s>3</s>, PM<s>2.5</s>",2,2016-03-05,,
,Moderate,155,PM<s>10</s>,3,2016-03-05,,
,Moderate,154,PM<s>2.5</s>,1,2016-03-05,,
,Moderate,118,PM<s>2.5</s>,2,2016-03-05,,
,Moderate,161,PM<s>10</s>,1,2016-03-05,,
,Moderate,146,PM<s>10</s>,1,2016-03-05,,
,Very Poor,304,PM<s>2.5</s>,1,2016-03-05,,
,Satisfactory,97,PM<s>10</s>,1,2016-03-05,,
,Very Poor,310,PM<s>2.5</s>,1,2016-03-05,,
,Moderate,109,PM<s>10</s>,1,2016-03-05,,
,Very Poor,364,PM<s>2.5</s>,1,2016-03-05,,
,Moderate,107,PM<s>2.5</s>,1,2016-03-05,,
,Satisfactory,91,PM<s>10</s>,1,2016-03-05,,
,Moderate,113,"PM<s>2.5</s>, O<s>3</s>",4,2016-03-06,,
,Satisfactory,86,O<s>3</s>,1,2016-03-06,,
,Poor,209,"PM<s>2.5</s>, O<s>3</s>",3,2016-03-06,,
,Moderate,146,PM<s>2.5</s>,1,2016-03-06,,
,Satisfactory,94,"PM<s>2.5</s>, PM<s>10</s>",2,2016-03-06,,
,Moderate,147,PM<s>10</s>,1,2016-03-06,,
,Moderate,123,PM<s>2.5</s>,1,2016-03-06,,
,Very Poor,338,PM<s>2.5</s>,1,2016-03-06,,
,Moderate,116,PM<s>10</s>,1,2016-03-06,,
,Moderate,144,PM<s>2.5</s>,1,2016-03-06,,
,Moderate,173,PM<s>2.5</s>,<s>#</s>1,2016-03-06,,
,Moderate,144,PM<s>2.5</s>,1,2016-03-07,,
,Moderate,110,PM<s>10</s>,1,2016-03-07,,
,Poor,236,"O<s>3</s>, PM<s>10</s>",2,2016-03-07,,
,Moderate,103,PM<s>2.5</s>,1,2016-03-07,,
,Satisfactory,75,"PM<s>2.5</s>, PM<s>10</s>",2,2016-03-07,,
,Moderate,121,PM<s>10</s>,1,2016-03-07,,
,Moderate,199,PM<s>2.5</s>,1,2016-03-07,,
,Satisfactory,68,PM<s>10</s>,1,2016-03-07,,
,Poor,258,PM<s>2.5</s>,1,2016-03-07,,
,Moderate,115,PM<s>10</s>,1,2016-03-07,,
,Moderate,134,PM<s>2.5</s>,1,2016-03-07,,
,Moderate,166,PM<s>2.5</s>,<s>#</s>1,2016-03-07,,
,Moderate,189,"PM<s>2.5</s>, O<s>3</s>",4,2016-03-08,,
,Poor,214,PM<s>2.5</s>,<s>#</s>1,2016-03-08,,
,Moderate,109,PM<s>10</s>,1,2016-03-08,,
,Satisfactory,77,"PM<s>2.5</s>, PM<s>10</s>",2,2016-03-08,,
,Moderate,110,PM<s>2.5</s>,1,2016-03-08,,
,Poor,205,PM<s>2.5</s>,1,2016-03-08,,
,Satisfactory,88,PM<s>10</s>,1,2016-03-08,,
,Moderate,124,PM<s>2.5</s>,1,2016-03-08,,
,Moderate,115,PM<s>10</s>,1,2016-03-08,,
,Moderate,123,PM<s>2.5</s>,1,2016-03-08,,
,Satisfactory,98,PM<s>10</s>,1,2016-03-08,,
,Moderate,110,PM<s>10</s>,<s>#</s>1,2016-03-08,,
,Moderate,122,PM<s>10</s>,1,2016-03-09,,
,Satisfactory,71,PM<s>10</s>,<s>#</s>1,2016-03-09,,
,Satisfactory,90,PM<s>2.5</s>,1,2016-03-09,,
,Very Poor,311,PM<s>2.5</s>,<s>#</s>1,2016-03-09,,
,Satisfactory,71,PM<s>10</s>,1,2016-03-09,,
,Satisfactory,83,"PM<s>2.5</s>, PM<s>10</s>",2,2016-03-09,,
,Moderate,182,PM<s>2.5</s>,1,2016-03-09,,
,Moderate,144,PM<s>10</s>,1,2016-03-09,,
,Moderate,183,PM<s>2.5</s>,1,2016-03-09,,
,Satisfactory,70,PM<s>10</s>,1,2016-03-09,,
,Moderate,140,PM<s>2.5</s>,1,2016-03-09,,
,Moderate,111,PM<s>10</s>,1,2016-03-09,,
,Moderate,186,PM<s>2.5</s>,<s>#</s>1,2016-03-09,,
,Moderate,124,PM<s>10</s>,1,2016-03-09,,
,Moderate,151,"PM<s>2.5</s>, PM<s>10</s>",4,2016-03-10,,
,Poor,206,PM<s>2.5</s>,2,2016-03-10,,
,Poor,222,"PM<s>2.5</s>, PM<s>10</s>",4,2016-03-10,,
,Satisfactory,91,PM<s>2.5</s>,<s>#</s>1,2016-03-10,,
,Satisfactory,90,PM<s>10</s>,1,2016-03-10,,
,Moderate,123,PM<s>2.5</s>,2,2016-03-10,,
,Poor,209,PM<s>10</s>,1,2016-03-10,,
,Poor,216,PM<s>2.5</s>,1,2016-03-10,,
,Moderate,182,PM<s>2.5</s>,1,2016-03-10,,
,Satisfactory,91,PM<s>10</s>,1,2016-03-10,,
,Moderate,138,PM<s>2.5</s>,1,2016-03-10,,
,Moderate,111,PM<s>10</s>,1,2016-03-10,,
,Satisfactory,60,PM<s>2.5</s>,1,2016-03-10,,
,Moderate,122,PM<s>10</s>,1,2016-03-10,,
,Moderate,174,PM<s>2.5</s>,1,2016-03-11,,
,Moderate,140,PM<s>10</s>,1,2016-03-11,,
,Moderate,131,PM<s>2.5</s>,1,2016-03-11,,
,Moderate,117,O<s>3</s>,<s>#</s>1,2016-03-11,,
,Satisfactory,94,PM<s>10</s>,1,2016-03-11,,
,Moderate,108,"PM<s>2.5</s>, PM<s>10</s>",2,2016-03-11,,
,Moderate,142,PM<s>10</s>,1,2016-03-11,,
,Moderate,192,PM<s>2.5</s>,1,2016-03-11,,
,Moderate,101,PM<s>10</s>,1,2016-03-11,,
,Moderate,188,PM<s>2.5</s>,1,2016-03-11,,
,Satisfactory,97,PM<s>10</s>,1,2016-03-11,,
,Satisfactory,64,PM<s>2.5</s>,1,2016-03-11,,
,Good,36,PM<s>10</s>,<s>#</s>1,2016-03-11,,
,Moderate,127,PM<s>10</s>,1,2016-03-11,,
,Satisfactory,85,PM<s>2.5</s>,1,2016-03-12,,
,Moderate,152,PM<s>10</s>,2,2016-03-12,,
,Moderate,116,PM<s>2.5</s>,1,2016-03-12,,
,Moderate,108,PM<s>2.5</s>,1,2016-03-12,,
,Moderate,127,PM<s>2.5</s>,2,2016-03-12,,
,Moderate,152,PM<s>2.5</s>,1,2016-03-12,,
,Moderate,198,PM<s>2.5</s>,3,2016-03-12,,
,Satisfactory,88,PM<s>10</s>,1,2016-03-12,,
,Poor,201,PM<s>2.5</s>,1,2016-03-12,,
,Moderate,110,PM<s>10</s>,1,2016-03-12,,
,Moderate,155,PM<s>2.5</s>,1,2016-03-12,,
,Moderate,116,PM<s>10</s>,1,2016-03-12,,
,Poor,259,PM<s>10</s>,1,2016-03-12,,
,Satisfactory,61,PM<s>2.5</s>,1,2016-03-13,,
,Moderate,132,PM<s>10</s>,2,2016-03-13,,
,Satisfactory,75,PM<s>10</s>,1,2016-03-13,,
,Satisfactory,96,O<s>3</s>,1,2016-03-13,,
,Moderate,103,"PM<s>2.5</s>, PM<s>10</s>",2,2016-03-13,,
,Moderate,136,PM<s>2.5</s>,1,2016-03-13,,
,Moderate,135,PM<s>10</s>,1,2016-03-13,,
,Moderate,115,PM<s>2.5</s>,1,2016-03-13,,
,Moderate,109,PM<s>10</s>,1,2016-03-13,,
,Moderate,153,O<s>3</s>,1,2016-03-13,,
,Satisfactory,77,PM<s>2.5</s>,1,2016-03-13,,
,Moderate,166,PM<s>2.5</s>,1,2016-03-14,,
,Moderate,196,"O<s>3</s>, PM<s>2.5</s>",5,2016-03-14,,
,Poor,221,PM<s>2.5</s>,1,2016-03-14,,
,Moderate,108,PM<s>2.5</s>,1,2016-03-14,,
,Moderate,103,PM<s>10</s>,1,2016-03-14,,
,Moderate,106,"PM<s>2.5</s>, PM<s>10</s>",2,2016-03-14,,
,Poor,231,PM<s>10</s>,1,2016-03-14,,
,Satisfactory,76,PM<s>2.5</s>,1,2016-03-14,,
,Moderate,149,PM<s>2.5</s>,2,2016-03-14,,
,Satisfactory,68,PM<s>10</s>,1,2016-03-14,,
,Moderate,108,PM<s>10</s>,1,2016-03-14,,
,Good,48,PM<s>2.5</s>,1,2016-03-14,,
,Moderate,116,PM<s>2.5</s>,1,2016-03-14,,
,Good,39,PM<s>10</s>,1,2016-03-14,,
,Satisfactory,85,O<s>3</s>,1,2016-03-14,,
,Moderate,114,PM<s>10</s>,1,2016-03-14,,
,Moderate,149,PM<s>2.5</s>,1,2016-03-15,,
,Moderate,144,"PM<s>2.5</s>, PM<s>10</s>",4,2016-03-15,,
,Satisfactory,92,PM<s>2.5</s>,1,2016-03-15,,
,Moderate,164,PM<s>2.5</s>,3,2016-03-15,,
,Poor,220,"PM<s>2.5</s>, O<s>3</s>",4,2016-03-15,,
,Satisfactory,54,PM<s>2.5</s>,1,2016-03-15,,
,Moderate,116,PM<s>10</s>,1,2016-03-15,,
,Satisfactory,89,"PM<s>2.5</s>, PM<s>10</s>",2,2016-03-15,,
